name,ring,quadrant,isNew,description,5 rings,Category,Notes
,Promote,Services,FALSE,,Promote,,Placholder for ordering radar
,Pilot,Services,FALSE,,Pilot,,Placholder for ordering radar
,Evaluate,Services,FALSE,,Evaluate,,Placholder for ordering radar
,Hold,Services,FALSE,,Retire,,Placholder for ordering radar
MSK (Managed Kafka),Promote,Services,FALSE,,Promote,,
Iris,Pilot,Services,FALSE,,Pilot,,
Kafka,Hold,Services,FALSE,"<strong>Descriptions are written in HTML</strong> 

<p><strong>Description:</strong></p>
<p><strong>Reason for placing:</strong></p
<p><strong>Adopters:</strong></p>",Retire,,
Aurora MySQL,Promote,Services,FALSE,,Promote,,
ElastiCache (Redis),Promote,Services,FALSE,,Promote,,
CouchBase (self-managed),Hold,Services,FALSE,,Retire,,
CouchBase Capella,Promote,Services,FALSE,,Promote,,
MySQL,Hold,Services,FALSE,,Retire,,
S3,Promote,Services,FALSE,,Promote,,
Java 17,Promote,Languages and Frameworks,FALSE,"<a href=""https://en.wikipedia.org/wiki/Java_version_history#Java_17"">Java 17</a> is the latest long-term support (LTS) version of Java. While there are promising new features, such as Sealed Classes, it’s the switch to the new LTS process that is noteworthy. Avoid the “too expensive to update” trap and assess new releases of Java as and when they become available.",Promote,,
Amazon Corretto JDK,Promote,Languages and Frameworks,FALSE,"<a href=""https://aws.amazon.com/corretto/"">Amazon Corretto JDK</a> is a no-cost, multiplatform, production-ready distribution of the Open Java Development Kit.<br/>
The primary differentiator for Corretto is that we have a commercial relationship with AWS and &quot;if you already have an AWS Support Plan, Corretto is covered on the same basis as all other supported AWS Services and software&quot;.<br/>
<br/>
Additional Resources:
<br/>

<ul>
<li><a href=""https://docs.google.com/document/d/1IE6pvi-Vu4j94zusMVFCdjM2JSn8ZZc6VHa2iSCWZCE/edit#"">VEP 4: Java Container Images Recommendation</a></li>
</ul>",Promote,,
Kotlin,Pilot,Languages and Frameworks,FALSE,"<a href=""https://kotlinlang.org/"">Kotlin</a> is a cross-platform, statically typed, general-purpose programming language with type inference. Kotlin is designed to interoperate fully with Java and the JVM version of Kotlin's standard library depends on the Java Class Library but type inference allows its syntax to be more concise.<br/>
<br/>
There are a number of Java teams that are now running Kotlin services in production and although JVM runtime is well understood, Kotlin development does not have the same resources available as for Java services. ",Pilot,,
Go,Pilot,Languages and Frameworks,FALSE,"The <a href=""https://golang.org/"">Go language</a> is a statically typed, compiled programming language. While steadfastly single paradigm in a world of increasingly complex languages, it seems to keep a nice balance between expressiveness, power, and simplicity.<br/>
<br/>
There are a small number of teams (NeRu, OSS) using Go to write services so it will be harder to find support internally than for JVM based projects.",Pilot,,
JavaScript,Hold,Languages and Frameworks,FALSE,"<a href=""https://en.wikipedia.org/wiki/JavaScript"">JavaScript</a> is a dynamically typed programming language that is one of the core technologies of the World Wide Web, alongside HTML and CSS. JavaScript engines were originally used only in web browsers, but are now core components of some servers and a variety of applications. The most popular runtime system for this usage is Node.js.<br/>
<br/>
JavaScript has been used extensively for browser-based projects but TypeScript has become the default for new projects within API Engineering.",Endure,,
TypeScript,Promote,Languages and Frameworks,FALSE,"<a href=""https://www.typescriptlang.org/"">TypeScript</a>, is a strongly typed programming language that builds on JavaScript with support for tighter integration with IDEs and development tooling. <br/>
<br/>
Large-scale projects benefit most from the type safety and our developers are using TypeScript as the default for new projects targeting browsers or node.js.",Promote,,
node.js/V8,Evaluate,Languages and Frameworks,FALSE,"<a href=""https://nodejs.org/en/"">node.js</a> is an open-source, cross-platform, back-end JavaScript runtime environment that runs on a JavaScript Engine (i.e. V8 engine) and executes JavaScript code outside a web browser.<br/>
<br/>
node.js is used in the BiFrost project to implement the Backend for Frontend pattern but is not expected to be used beyond this use case.",Evaluate,,
Python 3,Hold,Languages and Frameworks,FALSE,"<a href=""https://www.python.org/"">Python</a> is a high-level, general-purpose programming language. Python is dynamically-typed and garbage-collected. It supports multiple programming paradigms, including structured (particularly procedural), object-oriented and functional programming. It is often described as a &quot;batteries included&quot; language due to its comprehensive standard library.<br/>
<br/>
Python is used in end-to-end testing and some SRE automation tooling, we should not expand usage of Python beyond these use cases.",Endure,,
Gradle,Promote,Languages and Frameworks,FALSE,"<a href=""https://docs.gradle.org"">Gradle</a> is an open-source build automation tool for JVM-based projects focused on flexibility and performance.",Promote,Build,What about Maven? Jib/JLink..
Spring Boot,Promote,Languages and Frameworks,FALSE,"<a href=""https://spring.io/projects/spring-boot"">Spring Boot</a> makes it easy to create stand-alone, production-grade JVM-based Spring Applications that you can ""just run"". It takes an opinionated view of the Spring platform and third-party libraries so you can get started with minimum fuss.<br/>
<br/>
There are a number of projects in production using Spring Boot and it is the default framework for a number of teams.",Promote,Framework,
Micronaut,Promote,Languages and Frameworks,FALSE,"<a href=""https://micronaut.io/"">Micronaut</a> is a modern, JVM-based, full-stack framework for building modular, easily testable microservice and serverless applications. It distinguishes itself through a small memory footprint and short startup time; it achieves these improvements by avoiding runtime reflection for dependency injection (DI) and proxy generation, a common shortcoming of traditional frameworks, and instead uses a DI/AOP container which performs dependency injection at compile time. Micronaut uses Netty and has first-class support for reactive programming and Kotlin.<br/>
<br/>
There are a small number of projects in production using Micronaut and is the default framework for a number of teams.",Promote,Framework,
Dropwizard,Hold,Languages and Frameworks,FALSE,"<a href=""https://www.dropwizard.io"">Dropwizard</a> pulls together stable, mature libraries from the Java ecosystem into a simple, lightweight package that lets you focus on getting things done. Dropwizard has out-of-the-box support for sophisticated configuration, application metrics, logging, operational tools, and much more.<br/>
<br/>
Dropwizard is used in a number of projects but is not recommended for new projects and should be replaced in existing project should the opportunity arise.",Endure,Framework,
nestjs.com,Evaluate,Languages and Frameworks,FALSE,"<a href=""nestjs.com"">NestJS</a> is a framework for building efficient, scalable node.js server-side applications. It uses progressive JavaScript, is built with and fully supports TypeScript and combines elements of OOP (Object Oriented Programming), FP (Functional Programming), and FRP (Functional Reactive Programming). The mental model to develop NestJS is similar to the server-side version of Angular or the TypeScript version of Spring Boot, so the learning curve for developers is low.<br/>
<br/>
NestJS is used in the BiFrost project.",Evaluate,Framework,
Webpack,Promote,Languages and Frameworks,FALSE,"<a href=""https://webpack.js.org/"">Webpack</a> is a static module bundler for modern JavaScript applications, it provides a single dependency tree for static assets, allowing flexible manipulation of JavaScript, CSS, etc. and minimizing what needs to be sent to the browser.<br/>
<br/>
Webpack is used to build and package many projects.",Promote,Build,
Vite,Evaluate,Languages and Frameworks,FALSE,"<a href=""https://vitejs.dev/"">Vite</a> is a build tool that aims to provide a faster and leaner development experience for modern web projects.<br/>
<br/>
Vite is used in the BiFrost project.",Evaluate,Build,Used in BiFrost
